from,to
11000002,12003123
11000002,12003104
11000002,12003134
11000002,12003088
11000002,12012228
11000002,12012287
11000002,12003153
11000002,12012281
11000002,12011241
11000002,12011403
11000002,12012227
11000002,12003084
11000002,12003059
11000002,12003052
12003052,12003054
12003052,12003053
12003084,12003055
12003084,12003074
12003088,12003100
12003088,12003106
12003088,12003107
12003088,12011244
12003123,12003124
12003123,12003125
12003123,12012172
12003123,12003126
12003134,12003136
12003134,12003135
12003153,12003160
12003153,12003172
12003153,12003173
12003153,12012273
12011403,12011404
12011403,12003082
12011403,12003080
12011403,12003079
12012227,12003083
12012227,12003068
12012227,12003061
12012228,12012229
12012228,12012272
12012228,12003178
12012281,12012285
12012281,12012282
12012281,12012286
12012287,12012288
12012287,12003120
12003055,12003056
12003055,12003057
12003055,12003058
12003074,12003077
12003074,12011242
12003074,12003075
12003074,12003076
12003100,12003102
12003100,12003101
12003107,12003109
12003107,12003113
12003107,12011985
12003107,12011492
12003107,12011493
12011244,12011245
12011244,12011037
12011244,12003138
12011244,12003097
12011244,12003090
12003160,12011052
12003160,12012277
12012273,12012275
12012273,12012274
12003061,12003060
12003061,12003067
12003061,12003062
12003068,12003069
12003068,12003070
12003178,12003142
12003178,12003144
12003178,12003143
12003178,12003149
12012229,12012271
12012229,12012230
12012282,12012284
12012282,12012283
12012288,12012290
12012288,12012289
12003109,12003110
12003109,12003111
12003109,12003112
12003113,12003114
12003113,12003115
12011492,12012171
12011492,12003118
12011492,12003117
12011493,12011494
12011493,12011495
12011985,12011986
12011985,12011917
12003090,12003091
12003090,12003092
12003090,12003093
12003097,12003098
12003097,12003099
12011052,12003168
12011052,12003169
12011052,12012276
12012277,12012278
12012277,12012280
12012277,12012279
12012277,12011053
12003144,12003148
12003144,12003147
12003144,12003146
12003144,12003145
12003149,12003152
12003149,12003151
12003149,12003150
